Time,Light,PMA 0.5 uM (1),PMA 0.5 uM (2),PMA 0.5 uM (3),PMA 0.5 uM (4),PMA 1 uM (1),PMA 1 uM (2),PMA 1 uM (3),PMA 1 uM (4),PMA 3 uM (1),PMA 3 uM (2),PMA 3 uM (3),PMA 3 uM (4),EGF 30 ng/ml (1),EGF 30 ng/ml (2),EGF 30 ng/ml (3),EGF 30 ng/ml (4),EGF 50 ng/ml (1),EGF 50 ng/ml (2),EGF 50 ng/ml (3),EGF 50 ng/ml (4),EGF 80 ng/ml (1),EGF 80 ng/ml (2),EGF 80 ng/ml (3),EGF 80 ng/ml (4),Ro-318220 2 uM (1),Ro-318220 2 uM (2),Ro-318220 2 uM (3),Ro-318220 2 uM (4),Ro-318220 5 uM (1),Ro-318220 5 uM (2),Ro-318220 5 uM (3),Ro-318220 5 uM (4),Ro-318220 8 uM (1),Ro-318220 8 uM (2),Ro-318220 8 uM (3),Ro-318220 8 uM (4),Control DMSO (1),Control DMSO (2),Control DMSO (3),Control DMSO (4)
1.5450000000000017,0.0,5441.0,5627.0,5755.0,5804.0,3564.0,5554.0,5709.0,5504.0,4957.0,5046.0,5213.0,5243.0,4345.0,4746.0,4489.0,4536.0,4427.0,4488.0,4559.0,4829.0,6125.0,6100.0,6116.0,6189.0,7080.0,6945.0,6898.0,7364.0,6832.0,7232.0,6757.0,7057.0,6868.0,7255.0,6884.0,7209.0,8441.0,8225.0,8139.0,7814.0
2.575000000000001,0.0,4839.0,5052.0,5009.0,5052.0,3107.0,4938.0,5000.0,4811.0,4416.0,4445.0,4652.0,4607.0,3700.0,4055.0,3779.0,3888.0,3804.0,3857.0,3886.0,4145.0,5195.0,5252.0,5289.0,5314.0,5852.0,5705.0,5609.0,5989.0,5930.0,6425.0,5782.0,5973.0,6100.0,6477.0,6039.0,6334.0,7295.0,7007.0,6875.0,6732.0
3.6050000000000004,0.0,4171.0,4288.0,4264.0,4325.0,2659.0,4188.0,4279.0,4109.0,3823.0,3855.0,3970.0,4027.0,3200.0,3866.0,3339.0,3355.0,3336.0,3345.0,3398.0,3616.0,4589.0,4520.0,4589.0,4634.0,4814.0,4777.0,4545.0,4989.0,4982.0,5318.0,4873.0,5005.0,5166.0,5568.0,5123.0,5482.0,6207.0,6018.0,5950.0,5727.0
4.635000000000002,0.0,3434.0,3591.0,3516.0,3580.0,2273.0,3498.0,3577.0,3391.0,3157.0,3218.0,3321.0,3402.0,2763.0,3039.0,2968.0,2979.0,2905.0,2977.0,2957.0,3079.0,4034.0,3968.0,4045.0,4098.0,3936.0,3941.0,3698.0,4091.0,4025.0,4377.0,3945.0,4084.0,4295.0,4557.0,4189.0,4459.0,5359.0,5214.0,5141.0,4920.0
5.665000000000003,0.0,2832.0,2945.0,2907.0,2986.0,1941.0,2898.0,2923.0,2746.0,2614.0,2679.0,2798.0,2830.0,2439.0,2664.0,2568.0,2613.0,2554.0,2638.0,2613.0,2798.0,3593.0,3552.0,3566.0,3666.0,3352.0,3241.0,3032.0,3368.0,3266.0,3552.0,3209.0,3377.0,3541.0,3784.0,3375.0,3711.0,4934.0,4745.0,4595.0,4505.0
6.695,0.0,2329.0,2471.0,2370.0,2493.0,1711.0,2375.0,2452.0,2346.0,2211.0,2246.0,2352.0,2395.0,2307.0,2509.0,2414.0,2445.0,2473.0,2470.0,2454.0,2641.0,3316.0,3311.0,3332.0,3464.0,2827.0,2730.0,2636.0,2845.0,2684.0,2900.0,2698.0,2832.0,2966.0,3086.0,2839.0,2968.0,5086.0,4884.0,4766.0,4502.0
7.725000000000001,0.0,1980.0,2071.0,2055.0,2102.0,1521.0,2027.0,2068.0,1950.0,1829.0,1907.0,2016.0,2036.0,2255.0,2445.0,2423.0,2466.0,2488.0,2498.0,2459.0,2652.0,3316.0,3352.0,3470.0,3589.0,2361.0,2373.0,2205.0,2459.0,2284.0,2489.0,2280.0,2452.0,2507.0,2607.0,2434.0,2502.0,5818.0,5564.0,5414.0,5141.0
8.755000000000003,0.0,1798.0,1816.0,1800.0,1841.0,1389.0,1800.0,1896.0,1768.0,1638.0,1705.0,1770.0,1804.0,2496.0,2730.0,2698.0,2777.0,2852.0,2832.0,2880.0,3007.0,3795.0,3784.0,4016.0,4102.0,2075.0,2023.0,1939.0,2111.0,2036.0,2139.0,2005.0,2118.0,2170.0,2277.0,2068.0,2207.0,7291.0,7014.0,6802.0,6502.0
9.785,0.0,1634.0,1668.0,1696.0,1727.0,1454.0,1720.0,1830.0,1659.0,1566.0,1570.0,1764.0,1729.0,2982.0,3364.0,3307.0,3314.0,3413.0,3388.0,3461.0,3643.0,4616.0,4614.0,4864.0,4909.0,1861.0,1814.0,1707.0,1855.0,1780.0,1936.0,1839.0,1889.0,1950.0,2034.0,1882.0,1961.0,9180.0,8857.0,8527.0,8241.0
10.815000000000001,0.0,1623.0,1727.0,1730.0,1809.0,1659.0,1796.0,1964.0,1763.0,1530.0,1600.0,1807.0,1791.0,3648.0,4005.0,3975.0,3986.0,4127.0,4129.0,4168.0,4438.0,5514.0,5505.0,5895.0,6089.0,1666.0,1589.0,1532.0,1657.0,1655.0,1773.0,1670.0,1745.0,1759.0,1859.0,1680.0,1755.0,10766.0,10375.0,10116.0,9811.0
11.845000000000002,0.0,1848.0,1913.0,2018.0,2027.0,2014.0,2057.0,2255.0,2029.0,1795.0,1795.0,1952.0,2052.0,4388.0,4770.0,4754.0,4746.0,4936.0,4968.0,4980.0,5305.0,6691.0,6668.0,7036.0,7100.0,1541.0,1534.0,1423.0,1518.0,1532.0,1614.0,1520.0,1566.0,1630.0,1702.0,1559.0,1661.0,12195.0,11891.0,11470.0,11289.0
12.875,1.0,2170.0,2307.0,2304.0,2425.0,2616.0,2536.0,2782.0,2530.0,2120.0,2213.0,2420.0,2402.0,5220.0,5689.0,5609.0,5575.0,5868.0,5818.0,5923.0,6279.0,7880.0,7825.0,8136.0,8211.0,1466.0,1468.0,1430.0,1489.0,1407.0,1516.0,1445.0,1430.0,1523.0,1611.0,1514.0,1552.0,13205.0,12800.0,12514.0,12325.0
13.905000000000001,1.0,2730.0,2864.0,2914.0,2941.0,3273.0,3091.0,3371.0,3159.0,2671.0,2750.0,2930.0,3034.0,6063.0,6525.0,6573.0,6446.0,6686.0,6780.0,6798.0,7255.0,9098.0,8936.0,9325.0,9339.0,1457.0,1448.0,1341.0,1489.0,1330.0,1441.0,1368.0,1361.0,1450.0,1470.0,1411.0,1493.0,14223.0,13736.0,13441.0,13155.0
14.935000000000002,1.0,3368.0,3495.0,3593.0,3636.0,4109.0,3773.0,4084.0,3955.0,3320.0,3370.0,3566.0,3725.0,6795.0,7345.0,7377.0,7313.0,7504.0,7825.0,7711.0,8311.0,10361.0,10443.0,10466.0,10618.0,1457.0,1477.0,1343.0,1459.0,1264.0,1330.0,1275.0,1298.0,1400.0,1468.0,1323.0,1432.0,14711.0,14130.0,14025.0,13909.0
15.965,1.0,3889.0,4125.0,4079.0,4107.0,4777.0,4302.0,4614.0,4441.0,3873.0,3877.0,4066.0,4236.0,7379.0,7938.0,7879.0,7866.0,8004.0,8271.0,8236.0,8768.0,11150.0,11130.0,11309.0,11295.0,1523.0,1502.0,1420.0,1482.0,1205.0,1298.0,1261.0,1230.0,1295.0,1370.0,1252.0,1289.0,14602.0,14157.0,13966.0,14059.0
16.995,1.0,4061.0,4182.0,4282.0,4220.0,4807.0,4398.0,4630.0,4457.0,4005.0,4041.0,4252.0,4350.0,7407.0,7852.0,7882.0,7804.0,7805.0,8080.0,7986.0,8595.0,11182.0,10914.0,11250.0,11241.0,1641.0,1664.0,1511.0,1611.0,1175.0,1214.0,1209.0,1214.0,1302.0,1284.0,1225.0,1300.0,13730.0,13218.0,12970.0,13075.0
18.025000000000002,1.0,4025.0,4184.0,4193.0,4125.0,4743.0,4311.0,4613.0,4270.0,4077.0,4073.0,4211.0,4304.0,7102.0,7543.0,7480.0,7386.0,7473.0,7582.0,7464.0,8071.0,10611.0,10523.0,10655.0,10734.0,1811.0,1884.0,1725.0,1795.0,1109.0,1207.0,1148.0,1125.0,1177.0,1207.0,1164.0,1225.0,12520.0,11882.0,11752.0,11734.0
19.055,1.0,3914.0,4120.0,4073.0,4052.0,4702.0,4245.0,4411.0,4141.0,4039.0,4016.0,4198.0,4298.0,6707.0,7270.0,7191.0,7002.0,7046.0,7238.0,6964.0,7363.0,10086.0,9977.0,10091.0,10011.0,2098.0,2095.0,1966.0,2093.0,1066.0,1093.0,1114.0,1070.0,1111.0,1141.0,1114.0,1159.0,11100.0,10764.0,10530.0,10457.0
20.085,1.0,3952.0,4105.0,4059.0,3993.0,4655.0,4170.0,4336.0,4039.0,3993.0,4118.0,4220.0,4246.0,6373.0,6907.0,6729.0,6579.0,6693.0,6634.0,6486.0,6702.0,9523.0,9452.0,9473.0,9384.0,2495.0,2541.0,2330.0,2477.0,991.0,1125.0,1070.0,1050.0,1095.0,1132.0,1030.0,1118.0,9805.0,9432.0,9141.0,9118.0
21.115000000000002,1.0,4034.0,4066.0,4116.0,4025.0,4596.0,4254.0,4318.0,3916.0,4111.0,4173.0,4245.0,4329.0,6018.0,6611.0,6423.0,6279.0,6180.0,6234.0,6007.0,6130.0,8757.0,8861.0,8832.0,8877.0,3095.0,3007.0,2811.0,2991.0,1014.0,1020.0,1018.0,1016.0,1064.0,1052.0,1020.0,1045.0,8684.0,8214.0,8009.0,7964.0
22.145000000000003,1.0,4013.0,4071.0,4052.0,3936.0,4539.0,4129.0,4211.0,3730.0,4214.0,4225.0,4250.0,4332.0,5530.0,6023.0,5941.0,5673.0,5711.0,5704.0,5325.0,5350.0,8118.0,8068.0,8002.0,8005.0,3648.0,3545.0,3373.0,3684.0,964.0,1011.0,991.0,966.0,998.0,1039.0,980.0,1027.0,7405.0,7098.0,6875.0,6816.0
23.175000000000004,1.0,3963.0,4039.0,3989.0,3964.0,4364.0,4020.0,4048.0,3541.0,4138.0,4246.0,4173.0,4232.0,5050.0,5548.0,5418.0,5263.0,5127.0,5127.0,4805.0,4786.0,7436.0,7427.0,7366.0,7184.0,4491.0,4386.0,4084.0,4427.0,950.0,961.0,957.0,950.0,966.0,1002.0,966.0,1007.0,6402.0,6173.0,6000.0,5841.0
24.205,1.0,3852.0,3995.0,3896.0,3752.0,4107.0,3802.0,3841.0,3273.0,4029.0,4071.0,4032.0,4145.0,4605.0,5009.0,5021.0,4768.0,4711.0,4618.0,4288.0,4275.0,6714.0,6752.0,6566.0,6500.0,5293.0,5084.0,4970.0,5266.0,900.0,927.0,907.0,936.0,916.0,959.0,895.0,977.0,5516.0,5289.0,5123.0,5027.0
25.235,1.0,3750.0,3779.0,3702.0,3652.0,3975.0,3695.0,3650.0,3116.0,3936.0,4061.0,3925.0,4048.0,4193.0,4723.0,4595.0,4338.0,4282.0,4234.0,3898.0,3805.0,6107.0,6145.0,5939.0,5936.0,6270.0,5866.0,5800.0,6102.0,914.0,930.0,923.0,905.0,970.0,955.0,923.0,932.0,4882.0,4609.0,4450.0,4430.0
26.265,1.0,3641.0,3743.0,3696.0,3534.0,3770.0,3595.0,3438.0,2968.0,3827.0,3959.0,3895.0,3839.0,3825.0,4332.0,4225.0,4004.0,3932.0,3843.0,3546.0,3457.0,5657.0,5666.0,5539.0,5361.0,7032.0,6668.0,6589.0,6798.0,889.0,886.0,920.0,895.0,948.0,959.0,918.0,927.0,4320.0,4107.0,3900.0,3823.0
27.295,1.0,3525.0,3570.0,3523.0,3389.0,3646.0,3404.0,3291.0,2741.0,3693.0,3870.0,3771.0,3771.0,3466.0,4023.0,3873.0,3723.0,3589.0,3559.0,3220.0,3157.0,5182.0,5230.0,5098.0,4973.0,7700.0,7227.0,7161.0,7325.0,895.0,859.0,859.0,882.0,916.0,891.0,866.0,895.0,3757.0,3591.0,3477.0,3409.0
28.325000000000003,1.0,3502.0,3548.0,3495.0,3271.0,3539.0,3391.0,3263.0,2705.0,3655.0,3846.0,3695.0,3759.0,3311.0,3827.0,3696.0,3563.0,3514.0,3323.0,3030.0,2920.0,4823.0,4870.0,4707.0,4675.0,8325.0,7593.0,7800.0,7823.0,850.0,870.0,848.0,857.0,836.0,873.0,836.0,893.0,3386.0,3225.0,3114.0,3016.0
29.355000000000004,1.0,3559.0,3579.0,3518.0,3325.0,3566.0,3427.0,3270.0,2771.0,3673.0,3898.0,3736.0,3696.0,3288.0,3752.0,3641.0,3473.0,3373.0,3323.0,2941.0,2913.0,4739.0,4839.0,4695.0,4473.0,8741.0,7843.0,8134.0,8014.0,805.0,852.0,857.0,861.0,852.0,866.0,834.0,864.0,3141.0,3041.0,2882.0,2836.0
30.384999999999998,1.0,3693.0,3745.0,3559.0,3404.0,3613.0,3521.0,3346.0,2829.0,3788.0,3964.0,3800.0,3843.0,3352.0,3866.0,3700.0,3636.0,3450.0,3423.0,3000.0,2941.0,4873.0,5020.0,4739.0,4548.0,9064.0,8064.0,8241.0,8120.0,861.0,864.0,818.0,855.0,850.0,848.0,805.0,823.0,3118.0,2986.0,2877.0,2727.0
31.415,1.0,3895.0,3988.0,3839.0,3623.0,3877.0,3725.0,3575.0,3082.0,3950.0,4164.0,3945.0,4009.0,3602.0,4193.0,4084.0,3870.0,3789.0,3707.0,3321.0,3241.0,5216.0,5352.0,5100.0,4907.0,9050.0,8039.0,8291.0,7950.0,807.0,823.0,820.0,823.0,809.0,836.0,786.0,807.0,3236.0,3084.0,2941.0,2798.0
32.445,1.0,4239.0,4311.0,4129.0,3932.0,4152.0,4079.0,3884.0,3334.0,4250.0,4446.0,4313.0,4309.0,4089.0,4752.0,4625.0,4377.0,4270.0,4234.0,3770.0,3734.0,5850.0,6025.0,5661.0,5459.0,8959.0,7986.0,8220.0,7900.0,811.0,827.0,820.0,809.0,827.0,807.0,807.0,805.0,3550.0,3482.0,3195.0,3143.0
33.475,1.0,4673.0,4732.0,4584.0,4334.0,4577.0,4438.0,4364.0,3764.0,4555.0,4775.0,4618.0,4650.0,4602.0,5454.0,5284.0,5073.0,4964.0,4852.0,4445.0,4230.0,6718.0,7073.0,6575.0,6302.0,8802.0,7793.0,8068.0,7639.0,784.0,823.0,807.0,823.0,800.0,791.0,782.0,805.0,3927.0,3839.0,3675.0,3536.0
34.505,1.0,5150.0,5282.0,5039.0,4855.0,4973.0,5013.0,4864.0,4270.0,4934.0,5264.0,5071.0,5048.0,5379.0,6254.0,6057.0,5811.0,5695.0,5641.0,5052.0,5013.0,7848.0,8152.0,7498.0,7214.0,8491.0,7600.0,7659.0,7316.0,795.0,820.0,841.0,818.0,786.0,793.0,780.0,805.0,4511.0,4375.0,4186.0,3957.0
35.535000000000004,1.0,5743.0,5921.0,5568.0,5359.0,5461.0,5554.0,5352.0,4779.0,5455.0,5796.0,5484.0,5573.0,6214.0,7125.0,6880.0,6570.0,6509.0,6380.0,5875.0,5684.0,8909.0,9302.0,8625.0,8164.0,8227.0,7343.0,7434.0,6952.0,807.0,809.0,857.0,827.0,775.0,784.0,741.0,786.0,5070.0,5066.0,4802.0,4532.0
36.565,0.0,6302.0,6488.0,6152.0,5893.0,5813.0,6025.0,5896.0,5280.0,5902.0,6150.0,5938.0,5998.0,6905.0,7873.0,7764.0,7395.0,7179.0,7121.0,6557.0,6325.0,10080.0,10309.0,9632.0,9132.0,7934.0,7048.0,7030.0,6702.0,805.0,800.0,798.0,820.0,752.0,800.0,741.0,745.0,5564.0,5507.0,5320.0,4964.0
37.595,0.0,6934.0,7157.0,6773.0,6464.0,6171.0,6621.0,6507.0,5759.0,6445.0,6668.0,6461.0,6411.0,7645.0,8693.0,8459.0,8141.0,7929.0,7821.0,7068.0,6889.0,11020.0,11320.0,10500.0,10032.0,7666.0,6727.0,6768.0,6307.0,791.0,800.0,795.0,814.0,766.0,739.0,718.0,736.0,6055.0,6039.0,5691.0,5373.0
38.625,0.0,7589.0,7757.0,7332.0,7098.0,6516.0,7054.0,6946.0,6234.0,6932.0,7198.0,6914.0,6898.0,8357.0,9407.0,9086.0,8763.0,8493.0,8359.0,7645.0,7316.0,11980.0,12098.0,11409.0,10798.0,7266.0,6520.0,6445.0,5932.0,793.0,807.0,798.0,864.0,775.0,775.0,745.0,711.0,6355.0,6314.0,6011.0,5607.0
39.655,0.0,8227.0,8404.0,7914.0,7595.0,6930.0,7582.0,7393.0,6588.0,7407.0,7720.0,7257.0,7366.0,8891.0,10088.0,9829.0,9354.0,9091.0,8861.0,8018.0,7788.0,12784.0,13107.0,12286.0,11464.0,6964.0,6257.0,6036.0,5709.0,784.0,791.0,800.0,866.0,743.0,743.0,741.0,700.0,6555.0,6595.0,6245.0,5843.0
40.685,0.0,8959.0,9071.0,8577.0,8195.0,7320.0,8177.0,8179.0,7209.0,7973.0,8300.0,7838.0,7813.0,9634.0,11014.0,10741.0,10155.0,9902.0,9732.0,8802.0,8502.0,13884.0,14198.0,13214.0,12559.0,6741.0,5991.0,5809.0,5395.0,789.0,807.0,816.0,852.0,736.0,730.0,707.0,700.0,7034.0,6993.0,6682.0,6368.0
41.715,0.0,9845.0,10027.0,9427.0,9079.0,7757.0,8889.0,8759.0,7980.0,8770.0,9009.0,8525.0,8630.0,10627.0,12177.0,11730.0,11116.0,10880.0,10804.0,9763.0,9557.0,15189.0,15518.0,14495.0,13864.0,6595.0,5932.0,5639.0,5164.0,770.0,800.0,780.0,916.0,716.0,714.0,698.0,730.0,7580.0,7502.0,7305.0,6939.0
42.745000000000005,0.0,10889.0,11091.0,10518.0,10020.0,8241.0,9886.0,9798.0,9057.0,9707.0,9904.0,9416.0,9439.0,11720.0,13359.0,12916.0,12289.0,12055.0,11998.0,11021.0,10813.0,16570.0,17018.0,15827.0,15050.0,6495.0,5859.0,5620.0,5168.0,770.0,805.0,818.0,882.0,734.0,732.0,682.0,709.0,8100.0,7859.0,7857.0,7566.0
